Date,Clicks,Impressions,CTR,Position
2026-01-05,22,3419,0.64%,14.6
2026-01-06,32,3149,1.02%,16.1
2026-01-07,35,3484,1%,18.4
2026-01-08,29,3361,0.86%,19.6
2026-01-09,24,3717,0.65%,19.9
2026-01-10,28,3201,0.87%,17.3
2026-01-11,28,2735,1.02%,20.6
2026-01-12,31,3139,0.99%,16.8
2026-01-13,29,2678,1.08%,18.8
2026-01-14,36,2638,1.36%,18.3
2026-01-15,30,2544,1.18%,16.8
2026-01-16,23,2596,0.89%,18.7
2026-01-17,24,2575,0.93%,23.4
2026-01-18,17,2641,0.64%,19.4
2026-01-19,25,2666,0.94%,18.2
2026-01-20,30,3096,0.97%,17.5
2026-01-21,15,3322,0.45%,21.9
2026-01-22,30,2843,1.06%,19.2
2026-01-23,27,2612,1.03%,22.8
2026-01-24,18,2078,0.87%,23.1
2026-01-25,26,2349,1.11%,24.5
2026-01-26,32,3158,1.01%,28.9
2026-01-27,23,2318,0.99%,24.8
2026-01-28,29,2243,1.29%,22.9
2026-01-29,24,2269,1.06%,24
2026-01-30,18,2255,0.8%,22.7
2026-01-31,24,2465,0.97%,26.9
2026-02-01,19,2186,0.87%,21.2
2026-02-02,24,2601,0.92%,21.3
2026-02-03,26,2229,1.17%,17.9
2026-02-04,37,2356,1.57%,18.6
2026-02-05,38,2606,1.46%,21.5
2026-02-06,26,2826,0.92%,27.1
2026-02-07,26,2001,1.3%,16.3
2026-02-08,36,2139,1.68%,19.7
2026-02-09,40,2558,1.56%,20.3
2026-02-10,32,2615,1.22%,23.7
2026-02-11,40,2137,1.87%,20.4
2026-02-12,22,2580,0.85%,19.9
2026-02-13,30,2602,1.15%,22.5
2026-02-14,29,2150,1.35%,21.2
2026-02-15,18,2301,0.78%,17.9
2026-02-16,23,2486,0.93%,17.8
2026-02-17,21,2776,0.76%,21.7
2026-02-18,26,2640,0.98%,19.7
2026-02-19,17,2568,0.66%,20
2026-02-20,18,2738,0.66%,22.9
2026-02-21,20,2240,0.89%,18.8
2026-02-22,26,2030,1.28%,21.3
2026-02-23,30,2034,1.47%,16.3
2026-02-24,30,2344,1.28%,21.7
2026-02-25,30,2152,1.39%,20.3
2026-02-26,11,2308,0.48%,21.8
2026-02-27,33,2528,1.31%,25.8
2026-02-28,20,1871,1.07%,27.3
2026-03-01,28,2269,1.23%,23.1
2026-03-02,26,2998,0.87%,18.1
2026-03-03,22,3199,0.69%,19.2
2026-03-04,32,2643,1.21%,15.3
2026-03-05,30,3031,0.99%,14.8
2026-03-06,22,3018,0.73%,16.9
2026-03-07,22,2597,0.85%,15.7
2026-03-08,28,2819,0.99%,16.3
2026-03-09,27,3073,0.88%,14.1
2026-03-10,29,2947,0.98%,16.7
2026-03-11,24,2382,1.01%,16.7
2026-03-12,27,2402,1.12%,18.3
2026-03-13,23,1853,1.24%,19.1
2026-03-14,24,1559,1.54%,21.4
2026-03-15,30,1498,2%,18.1
2026-03-16,38,3030,1.25%,20
2026-03-17,39,2915,1.34%,20.3
2026-03-18,37,2722,1.36%,20.8
2026-03-19,27,2569,1.05%,17.8
2026-03-20,29,2700,1.07%,19.9
2026-03-21,21,1450,1.45%,13.6
2026-03-22,31,2008,1.54%,19.5
2026-03-23,25,2817,0.89%,18.9
2026-03-24,26,2402,1.08%,19.1
2026-03-25,34,1599,2.13%,12.3
2026-03-26,21,1755,1.2%,13
2026-03-27,22,1536,1.43%,12.1
2026-03-28,27,1614,1.67%,16.7
2026-03-29,23,1536,1.5%,13.3
2026-03-30,23,1780,1.29%,12.8
2026-03-31,25,1646,1.52%,13.1
2026-04-01,31,1699,1.82%,12.3
2026-04-02,21,1680,1.25%,11.8
2026-04-03,20,1801,1.11%,10.9
2026-04-04,24,1741,1.38%,9.9